threshold_keV,signal_efficiency,background_rejection,balanced_accuracy
2410.0,0.8785400390625,0.9559059143066406,0.9172229766845703
2420.0,0.8736775716145834,0.95794677734375,0.9158121744791667
2430.0,0.8688303629557291,0.9602470397949219,0.9145387013753254
2440.0,0.8637186686197916,0.9622764587402344,0.912997563680013
2450.0,0.8581034342447916,0.9639739990234375,0.9110387166341145
2460.0,0.8522491455078125,0.9657669067382812,0.9090080261230469
2470.0,0.846038818359375,0.9674720764160156,0.9067554473876953
2480.0,0.8396352132161459,0.96923828125,0.904436747233073
2490.0,0.8330586751302084,0.9709014892578125,0.9019800821940105
2500.0,0.8260091145833334,0.9722938537597656,0.8991514841715496
2510.0,0.8186899820963541,0.9737472534179688,0.8962186177571614
2520.0,0.8109639485677084,0.9751434326171875,0.893053690592448
2530.0,0.8023834228515625,0.9765892028808594,0.8894863128662109
2540.0,0.793548583984375,0.9780502319335938,0.8857994079589844
2550.0,0.7844950358072916,0.9793968200683594,0.8819459279378254
2560.0,0.7746988932291666,0.9805221557617188,0.8776105244954426
2570.0,0.7643076578776041,0.9818115234375,0.873059590657552
2580.0,0.7534383138020834,0.9829597473144531,0.8681990305582683
2590.0,0.7419331868489584,0.9840126037597656,0.862972895304362
2600.0,0.7299448649088541,0.9850234985351562,0.8574841817220051
2610.0,0.7176920572916666,0.9859428405761719,0.8518174489339192
2620.0,0.7040303548177084,0.9869194030761719,0.8454748789469402
2630.0,0.689666748046875,0.9878196716308594,0.8387432098388672
2640.0,0.6744944254557291,0.9887046813964844,0.8315995534261067
2650.0,0.658477783203125,0.9895286560058594,0.8240032196044922
2660.0,0.6416727701822916,0.9903221130371094,0.8159974416097004
2670.0,0.6244608561197916,0.9910659790039062,0.8077634175618489
2680.0,0.6056264241536459,0.9918708801269531,0.7987486521402996
2690.0,0.5859527587890625,0.9924545288085938,0.7892036437988281
2700.0,0.5659077962239584,0.9930686950683594,0.7794882456461589
2710.0,0.5446929931640625,0.9936676025390625,0.7691802978515625
2720.0,0.5226084391276041,0.9942283630371094,0.7584184010823567
2730.0,0.4985097249348958,0.9947776794433594,0.7466437021891276
2740.0,0.4740753173828125,0.99530029296875,0.7346878051757812
2750.0,0.4488576253255208,0.9957313537597656,0.7222944895426432
2760.0,0.4226277669270833,0.9961585998535156,0.7093931833902994
2770.0,0.3964080810546875,0.9964561462402344,0.6964321136474609
2780.0,0.3685811360677083,0.9967880249023438,0.682684580485026
2790.0,0.33978271484375,0.9970741271972656,0.6684284210205078
2800.0,0.3119150797526042,0.9973678588867188,0.6546414693196615
2810.0,0.2828826904296875,0.9976043701171875,0.6402435302734375
2820.0,0.2546437581380208,0.9978561401367188,0.6262499491373698
2830.0,0.22685750325520834,0.99810791015625,0.6124827067057291
2840.0,0.19940694173177084,0.9983253479003906,0.5988661448160807
2850.0,0.17398579915364584,0.99853515625,0.5862604777018229
2860.0,0.14951578776041666,0.9986991882324219,0.5741074879964193
2870.0,0.1272735595703125,0.99884033203125,0.5630569458007812
2880.0,0.10690816243489583,0.9989967346191406,0.5529524485270182
2890.0,0.08883158365885417,0.9991378784179688,0.5439847310384115
2900.0,0.07236735026041667,0.999237060546875,0.5358022054036459
2910.0,0.058542887369791664,0.9993553161621094,0.5289491017659506
2920.0,0.04632568359375,0.9994277954101562,0.5228767395019531
2930.0,0.03619384765625,0.9995269775390625,0.5178604125976562
2940.0,0.027099609375,0.9995841979980469,0.5133419036865234
2950.0,0.020375569661458332,0.9996299743652344,0.5100027720133463
2960.0,0.0151824951171875,0.9996910095214844,0.5074367523193359
2970.0,0.011271158854166666,0.9997749328613281,0.5055230458577474
2980.0,0.0079345703125,0.9998016357421875,0.5038681030273438
2990.0,0.005615234375,0.9998245239257812,0.5027198791503906
3000.0,0.00390625,0.999847412109375,0.5018768310546875
3010.0,0.0027720133463541665,0.9998741149902344,0.5013230641682943
3020.0,0.0018819173177083333,0.9999046325683594,0.5008932749430338
3030.0,0.0013326009114583333,0.9999313354492188,0.5006319681803385
3040.0,0.0008900960286458334,0.99993896484375,0.5004145304361979
3050.0,0.0006357828776041666,0.9999580383300781,0.5002969106038412
3060.0,0.0004323323567708333,0.999969482421875,0.5002009073893229
3070.0,0.0002797444661458333,0.9999809265136719,0.5001303354899088
3080.0,0.00017293294270833334,0.9999923706054688,0.5000826517740885
3090.0,0.0001220703125,0.9999923706054688,0.5000572204589844
3100.0,9.663899739583333e-05,0.9999961853027344,0.5000464121500651
3110.0,4.57763671875e-05,1.0,0.5000228881835938
3120.0,1.52587890625e-05,1.0,0.5000076293945312
3130.0,5.086263020833333e-06,1.0,0.5000025431315104
3140.0,5.086263020833333e-06,1.0,0.5000025431315104
3150.0,0.0,1.0,0.5
3160.0,0.0,1.0,0.5
3170.0,0.0,1.0,0.5
3180.0,0.0,1.0,0.5
3190.0,0.0,1.0,0.5
3200.0,0.0,1.0,0.5
3210.0,0.0,1.0,0.5
3220.0,0.0,1.0,0.5
3230.0,0.0,1.0,0.5
3240.0,0.0,1.0,0.5
3250.0,0.0,1.0,0.5
3260.0,0.0,1.0,0.5
3270.0,0.0,1.0,0.5
3280.0,0.0,1.0,0.5
3290.0,0.0,1.0,0.5
3300.0,0.0,1.0,0.5
