distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
retained,0nubb,400.0,450.0,0.0,99139.0,0.0
retained,0nubb,450.0,500.0,0.0,99139.0,0.0
retained,0nubb,500.0,550.0,0.0,99139.0,0.0
retained,0nubb,550.0,600.0,0.0,99139.0,0.0
retained,0nubb,600.0,650.0,0.0,99139.0,0.0
retained,0nubb,650.0,700.0,0.0,99139.0,0.0
retained,0nubb,700.0,750.0,0.0,99139.0,0.0
retained,0nubb,750.0,800.0,0.0,99139.0,0.0
retained,0nubb,800.0,850.0,0.0,99139.0,0.0
retained,0nubb,850.0,900.0,0.0,99139.0,0.0
retained,0nubb,900.0,950.0,0.0,99139.0,0.0
retained,0nubb,950.0,1000.0,0.0,99139.0,0.0
retained,0nubb,1000.0,1050.0,0.0,99139.0,0.0
retained,0nubb,1050.0,1100.0,0.0,99139.0,0.0
retained,0nubb,1100.0,1150.0,0.0,99139.0,0.0
retained,0nubb,1150.0,1200.0,0.0,99139.0,0.0
retained,0nubb,1200.0,1250.0,95.0,99139.0,1.9165010742492864e-05
retained,0nubb,1250.0,1300.0,70.0,99139.0,1.4121586862889479e-05
retained,0nubb,1300.0,1350.0,186.0,99139.0,3.7523073664249186e-05
retained,0nubb,1350.0,1400.0,118.0,99139.0,2.380496071172798e-05
retained,0nubb,1400.0,1450.0,176.0,99139.0,3.550570411240783e-05
retained,0nubb,1450.0,1500.0,240.0,99139.0,4.84168692441925e-05
retained,0nubb,1500.0,1550.0,301.0,99139.0,6.0722823510424755e-05
retained,0nubb,1550.0,1600.0,321.0,99139.0,6.475756261410746e-05
retained,0nubb,1600.0,1650.0,348.0,99139.0,7.020446040407911e-05
retained,0nubb,1650.0,1700.0,384.0,99139.0,7.746699079070799e-05
retained,0nubb,1700.0,1750.0,463.0,99139.0,9.34042102502547e-05
retained,0nubb,1750.0,1800.0,477.0,99139.0,9.622852762283259e-05
retained,0nubb,1800.0,1850.0,538.0,99139.0,0.00010853448188906484
retained,0nubb,1850.0,1900.0,582.0,99139.0,0.00011741090791716681
retained,0nubb,1900.0,1950.0,662.0,99139.0,0.00013354986433189764
retained,0nubb,1950.0,2000.0,743.0,99139.0,0.0001498905577018126
retained,0nubb,2000.0,2050.0,934.0,99139.0,0.00018842231614198246
retained,0nubb,2050.0,2100.0,1075.0,99139.0,0.00021686722682294555
retained,0nubb,2100.0,2150.0,1272.0,99139.0,0.00025660940699422026
retained,0nubb,2150.0,2200.0,1457.0,99139.0,0.0002939307437032853
retained,0nubb,2200.0,2250.0,1833.0,99139.0,0.0003697838388525202
retained,0nubb,2250.0,2300.0,2377.0,99139.0,0.00047952874247268984
retained,0nubb,2300.0,2350.0,2974.0,99139.0,0.0005999657047176187
retained,0nubb,2350.0,2400.0,3919.0,99139.0,0.0007906071273666267
