distribution,fpr,tpr,threshold_keV
original,4.57763671875e-05,0.0007222493489583334,3046.1875
original,4.57763671875e-05,0.0007273356119791666,3046.0
original,4.57763671875e-05,0.000732421875,3045.875
original,4.57763671875e-05,0.0007375081380208334,3045.75
original,4.57763671875e-05,0.0007476806640625,3045.0
original,4.57763671875e-05,0.0007527669270833334,3044.875
original,4.57763671875e-05,0.000762939453125,3044.75
original,4.57763671875e-05,0.0007680257161458334,3044.65625
original,4.57763671875e-05,0.0007832845052083334,3044.5
original,4.57763671875e-05,0.0007883707682291666,3044.0
original,4.9591064453125e-05,0.0007985432942708334,3043.5
original,4.9591064453125e-05,0.0008036295572916666,3043.0
original,4.9591064453125e-05,0.0008087158203125,3042.5
original,5.340576171875e-05,0.0008087158203125,3042.21875
original,5.340576171875e-05,0.0008290608723958334,3042.0
original,5.7220458984375e-05,0.0008290608723958334,3041.75
original,5.7220458984375e-05,0.0008341471354166666,3041.5
original,5.7220458984375e-05,0.0008544921875,3041.25
original,6.103515625e-05,0.0008595784505208334,3041.0
original,6.103515625e-05,0.0008646647135416666,3040.875
original,6.103515625e-05,0.0008697509765625,3040.75
original,6.103515625e-05,0.0008748372395833334,3040.5
original,6.103515625e-05,0.0008799235026041666,3040.25
original,6.103515625e-05,0.0008900960286458334,3040.0
original,6.103515625e-05,0.0008951822916666666,3039.875
original,6.103515625e-05,0.0009002685546875,3039.65625
original,6.103515625e-05,0.00091552734375,3039.5
original,6.103515625e-05,0.0009256998697916666,3039.375
original,6.103515625e-05,0.0009307861328125,3039.125
original,6.103515625e-05,0.0009409586588541666,3039.0
original,6.103515625e-05,0.0009511311848958334,3038.75
original,6.103515625e-05,0.0009562174479166666,3038.625
original,6.103515625e-05,0.0009663899739583334,3038.5
original,6.103515625e-05,0.0009765625,3038.25
original,6.103515625e-05,0.0009816487630208333,3038.0
original,6.103515625e-05,0.0009867350260416667,3037.875
original,6.103515625e-05,0.0009918212890625,3037.625
original,6.103515625e-05,0.0009969075520833333,3037.5
original,6.103515625e-05,0.001007080078125,3037.25
original,6.103515625e-05,0.0010172526041666667,3037.0
original,6.103515625e-05,0.0010223388671875,3036.75
original,6.103515625e-05,0.0010274251302083333,3036.5
original,6.103515625e-05,0.0010325113932291667,3036.375
original,6.103515625e-05,0.0010426839192708333,3036.25
original,6.103515625e-05,0.0010579427083333333,3036.0
original,6.866455078125e-05,0.0010579427083333333,3035.75
original,6.866455078125e-05,0.0010732014973958333,3035.5
original,6.866455078125e-05,0.0010782877604166667,3035.125
original,6.866455078125e-05,0.0010833740234375,3034.9375
original,6.866455078125e-05,0.0010986328125,3034.75
original,6.866455078125e-05,0.0011138916015625,3034.5
original,6.866455078125e-05,0.0011189778645833333,3034.25
original,6.866455078125e-05,0.0011240641276041667,3034.125
original,6.866455078125e-05,0.001129150390625,3034.0
original,6.866455078125e-05,0.0011342366536458333,3033.625
original,6.866455078125e-05,0.0011545817057291667,3033.5
original,6.866455078125e-05,0.0011647542317708333,3033.25
original,6.866455078125e-05,0.0011749267578125,3033.125
original,6.866455078125e-05,0.0011850992838541667,3033.0
original,6.866455078125e-05,0.001190185546875,3032.875
original,6.866455078125e-05,0.0012003580729166667,3032.75
original,6.866455078125e-05,0.0012054443359375,3032.625
original,6.866455078125e-05,0.0012105305989583333,3032.5
original,6.866455078125e-05,0.0012156168619791667,3032.25
original,6.866455078125e-05,0.0012257893880208333,3032.125
original,6.866455078125e-05,0.0012308756510416667,3032.0
original,6.866455078125e-05,0.0012410481770833333,3031.75
original,6.866455078125e-05,0.0012613932291666667,3031.5
original,6.866455078125e-05,0.0012715657552083333,3031.25
original,6.866455078125e-05,0.0012766520182291667,3031.125
original,6.866455078125e-05,0.0012919108072916667,3031.0
original,6.866455078125e-05,0.0012969970703125,3030.875
original,6.866455078125e-05,0.001312255859375,3030.75
original,6.866455078125e-05,0.0013173421223958333,3030.625
original,6.866455078125e-05,0.0013224283854166667,3030.5
original,6.866455078125e-05,0.0013275146484375,3030.25
original,6.866455078125e-05,0.0013326009114583333,3030.0
original,6.866455078125e-05,0.0013376871744791667,3029.75
original,6.866455078125e-05,0.0013427734375,3029.6875
original,6.866455078125e-05,0.0013478597005208333,3029.5
original,6.866455078125e-05,0.0013529459635416667,3029.3125
original,6.866455078125e-05,0.0013682047526041667,3029.25
original,6.866455078125e-05,0.001373291015625,3029.125
original,6.866455078125e-05,0.0013783772786458333,3028.875
original,7.2479248046875e-05,0.0013783772786458333,3028.75
original,7.2479248046875e-05,0.0013834635416666667,3028.625
original,7.2479248046875e-05,0.0013885498046875,3028.5
original,7.2479248046875e-05,0.00140380859375,3028.25
original,7.2479248046875e-05,0.0014088948567708333,3028.0
original,7.2479248046875e-05,0.0014292399088541667,3027.75
original,7.2479248046875e-05,0.001434326171875,3027.625
original,7.2479248046875e-05,0.0014546712239583333,3027.5
