run_id,tokenization,position_encoding,num_tokens,feature_dim,parameter_count,rope_base,rope_time_axis_only,n_train,n_val,n_test,epochs_completed,best_epoch,best_val_rmse_scaled,test_rmse_ms,test_mae_ms,test_bias_ms,test_r2,test_median_abs_error_ms,test_rmse_ms_pileup_only,test_mae_ms_pileup_only,test_bias_ms_pileup_only,test_r2_pileup,test_rmse_ms_clean,test_mae_ms_clean,test_bias_ms_clean,test_frac_within_100ms,test_frac_within_250ms,training_seconds,minutes_per_epoch,evaluation_seconds,d_model,dim_feedforward,dropout,dt_scale,gpu_name,hostname,nhead,num_frequencies,num_layers,patch_size,seed,slurm_array_task_id,slurm_job_id,split_seed,stopped_early,task,test_ers_DEGENERATE,test_frac_res68_DEGENERATE,test_rmse_scaled,token_count,torch_version,train_weight_sum
regression__segment_summary__rope_seed4,segment_summary,rope,500,2,106689,8.0,False,7650,1350,1000,24,19,0.16404631861210786,607.6882076300769,173.49810516928702,7.034414614126733,0.9186708496733584,36.03679679999209,792.6810700622945,280.7671892916025,-56.88735544503088,0.8353559974895604,342.60782355809283,69.19108648624646,69.19108648624646,0.715,0.881,117.312,0.0815,1.433,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,4,5,3642872,4,True,regression,0.0,3902.1357975024453,0.20256273587669232,500,2.5.1.post303,7650.0
regression__pulse_entities__fourier_coordinates_seed1,pulse_entities,fourier_coordinates,500,2,113409,,,7650,1350,1000,21,16,0.17586194442680667,589.7126280975907,179.74821147399788,22.874547940254867,0.9234111632900878,41.77898878715473,795.8791380148448,299.19369316780427,-5.695170765321958,0.8340248066867466,264.54958853445856,63.601027105069726,50.65535922595382,0.654,0.848,45.271,0.0359,1.367,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,1,7,3642659,1,True,regression,0.0,4210.558821631037,0.19657087603253026,500,2.5.1.post303,7650.0
regression__pulse_entities__fourier_coordinates,pulse_entities,fourier_coordinates,500,2,113409,,,7650,1350,1000,24,19,0.18281502892335083,612.057642051142,177.5573726276854,-40.26831323416466,0.9174970899793022,46.64258658885956,797.6644077056469,293.00426554603285,-148.83282545163462,0.8332793597939236,346.6781871594502,65.29836235402604,65.29836235402604,0.649,0.871,104.352,0.0725,3.53,64,256,0.1,3000.0,NVIDIA L40S,gpu-n73.crc.pitt.edu,4,6,2,20,,7,3641611,,True,regression,0.0,6080.57247657945,0.20401921401704734,500,2.5.1.post303,7650.0
regression__segment_summary__rope_base4_seed3,segment_summary,rope,500,2,106689,4.0,False,7650,1350,1000,24,19,0.17726424888988995,584.9303766461377,188.67130868989614,25.230168486521297,0.9246483148920432,60.310364244412995,799.2817283566301,321.7763746477605,-7.842250405320172,0.8326025987663201,231.5791933250368,59.24172778806743,57.38934504209891,0.612,0.848,100.248,0.0696,1.131,64,256,0.1,3000.0,NVIDIA L40S,gpu-n61.crc.pitt.edu,4,6,2,20,3,5,3642815,3,True,regression,0.0,7144.484169684444,0.1949767922153792,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_base4_seed1,pulse_entities,rope,500,2,106689,4.0,False,7650,1350,1000,19,14,0.23222921757701676,678.718920664789,247.6756374553627,86.02930175004965,0.8985470850153034,37.82239928841591,804.5567047493704,401.6872327390973,73.80419885408092,0.8303857805677499,528.3572250421373,97.91682784021253,97.91682784021253,0.593,0.74,113.82,0.0998,1.926,64,256,0.1,3000.0,NVIDIA L40S,gpu-n71.crc.pitt.edu,4,6,2,20,1,8,3642645,1,True,regression,0.0,4467.729909922546,0.22623964022159632,500,2.5.1.post303,7650.0
regression__pulse_entities__rope_timeonly,pulse_entities,rope,500,2,106689,8.0,True,7650,1350,1000,21,16,0.21125075392579754,595.1468838076488,260.92890744712946,49.845565632492956,0.9219931132802778,158.336928114295,805.0683425187905,326.2636099082642,-101.8973268354204,0.8301699881108627,261.4978871085755,197.3983190578998,197.3983190578998,0.251,0.799,85.263,0.0677,1.283,64,256,0.1,3000.0,NVIDIA L40S,gpu-n58.crc.pitt.edu,4,6,2,20,,8,3641999,,True,regression,0.0,29959.030361351488,0.1983822946025496,500,2.5.1.post303,7650.0
regression__raw_patches__rope_seed2,raw_patches,rope,500,20,107841,8.0,False,7650,1350,1000,20,15,0.1940272354070386,573.9512522626557,182.32412049988216,21.099638900295556,0.9274504650310157,41.063062626788906,806.0587650737334,335.4668443465995,9.289517633240427,0.8297518697220999,133.99335206094557,33.41018981658495,32.5836424203314,0.619,0.834,99.913,0.0833,2.177,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,2,2,3642829,2,True,regression,0.0,2684.9096047862417,0.19131708408755188,500,2.5.1.post303,7650.0
regression__raw_patches__rope_base4_seed1,raw_patches,rope,500,20,107841,4.0,False,7650,1350,1000,30,25,0.19591242263734854,605.5097056575913,269.993606561742,29.936559217557967,0.9192529183510187,132.8793260530647,806.1638724238951,384.8041904254162,-102.12694009017014,0.8297074672608922,302.00255484769207,158.35333467852433,158.35333467852433,0.224,0.776,125.884,0.0699,2.162,64,256,0.1,3000.0,NVIDIA L40S,gpu-n64.crc.pitt.edu,4,6,2,20,1,2,3642660,1,True,regression,0.0,21415.599400159404,0.2018365685525305,500,2.5.1.post303,7650.0
regression__raw_patches__coordinate_mlp_seed3,raw_patches,coordinate_mlp,500,20,112257,,,7650,1350,1000,26,21,0.19023901393039006,588.560424752057,196.02771152489504,-32.620765273883286,0.9237101553772403,39.80271029380799,807.6144229078778,345.6489738615064,-98.17940860687345,0.829094092841754,221.3840849788341,50.53800278337749,31.127580215592356,0.636,0.823,54.087,0.0347,1.101,64,256,0.1,3000.0,NVIDIA L40S,gpu-n60.crc.pitt.edu,4,6,2,20,3,0,3642732,3,True,regression,0.0,3501.0555344593604,0.19618680825068563,500,2.5.1.post303,7650.0
regression__pulse_entities__fourier_coordinates_seed3,pulse_entities,fourier_coordinates,500,2,113409,,,7650,1350,1000,19,14,0.18839172409293398,639.3743957568224,232.54241395989186,51.837345118210365,0.9099683729621306,106.54470138251781,809.3154782379262,328.9613017511199,-37.580420037280604,0.8283733861180496,411.58946986755547,138.78598066388503,138.78598066388503,0.41,0.823,73.716,0.0647,2.713,64,256,0.1,3000.0,NVIDIA L40S,gpu-n65.crc.pitt.edu,4,6,2,20,3,7,3642890,3,True,regression,0.0,16968.779308188776,0.21312479858560748,500,2.5.1.post303,7650.0
